37.5	144												
37.625	144												
37.75	144												
37.875	143												
38	143												
38.125	143												
38.25	144												
38.375	143												
38.5	143												
38.625	144												
38.75	144												
38.875	144												
39	143												
39.125	143												
39.25	143												
39.375	143												
39.5	143												
39.625	143												
39.75	143												
39.875	143												
40	143												
